"Data Source","World Development Indicators",

"Last Updated Date","2019-09-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","0.183049755962773","0.39262809624944","0.452976027246217","0.428164650831758","1.04009483432284","0.989244560285473","0.812157571098567","0.825136508756191","0.771340787746958","0.777824204275033","0.778845751805106","0.751248297021692","0.758239786860097","0.753552791689521","0.921790515361658","0.961728536657641","1.00638455878772","1.03734555494283","0.98192088344746","1.00818470556469","0.996358161107302","1.0170428666649","0.958474707410258","1.05933813263031","1.04924704837579","1.01132815270179","0.553281188786675","0.339082672105212","0.340522976483123","","","","",
"Afghanistan","AFG","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.143435707708318","0.147141205679793","0.115270468024635","0.144845844147521","0.170901126101328","0.206862327353743","0.368241871710833","0.488221213951117","0.53374932123382","0.768670412021069","0.599018913476826","0.528181507175732","0.503629381060578","","","","",
"Angola","AGO","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","0.201591020419581","0.208265946578687","0.183389736292899","0.193625367545558","0.178868091341494","0.162192157525236","0.15626869817675","0.18734878200484","0.155715477400197","0.151979161584251","0.160751753282002","0.158375047891335","0.17170888329457","0.251070177926442","0.166898250479151","0.409397585181105","0.343575729245921","0.226058651741552","0.213783755103317","0.26212818159912","0.265054377121547","0.259439373725558","0.29704888233253","0.206423734207436","0.385714997136729","0.341797434909438","0.356153190540431","0.352876603039062","0.324466234573967","0.347766727291851","0.346748001778764","0.349914751256397","0.354871684085941","0.330211990870155","0.335737761897521","","","","",
"Albania","ALB","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","0.97126966912458","1.30413435750927","1.26108723768692","1.30237947654266","1.35247671364016","1.33815555858443","1.29504000684734","1.20610265265384","1.2041901750507","1.34436996414374","0.91267280498398","0.985285761654226","0.622964816925987","0.527994191513669","0.401799196685779","0.384278882430935","0.340464781210209","0.292557552519433","0.305216589847922","0.460415110284677","0.43578415904954","0.429283768881622","0.477913055483227","0.518386888997861","0.476630497500027","0.46119638850991","0.399084507436579","0.379399918649113","0.393133329957661","0.380709130687002","0.385548422770662","0.428447306379265","0.39585191748211","0.404218264279534","0.448382437642478","","","","",
"Andorra","AND","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.208698357029666","0.203516813122808","0.201643121132213","0.205580253269257","0.199002121235548","0.202385404856472","0.206730584019598","0.194129136652562","0.198487895773614","0.199209648949986","0.196543656822519","0.1879959179814","0.179039555609524","0.160717097732073","0.156457078375182","0.149489730018462","0.135715867926826","0.133840627361511","0.146417933383675","0.145823532525715","0.154080434568096","0.153566588960647","0.154922912695516","0.150897786381677","0.142997742089107","","","","",
"Arab World","ARB","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","0.539691603670703","0.565453752962206","0.552895574114383","0.599706280602257","0.57587985091991","0.588521620112023","0.5591545380786","0.589548836510102","0.674883501550555","0.726301340505889","0.78644872604834","0.829635285002857","0.835386783486607","0.838386836201772","0.832173539465221","0.706630887991633","0.767109547975133","0.785267454603616","0.839040753438431","0.835197232215378","0.781102894863502","0.742813030480051","0.688490635893219","0.711684889201136","0.709548382966295","0.764694460366732","0.748872615154586","0.759891369491461","0.776541448817619","0.778142343349422","0.774725329585196","0.762559837221846","0.717569009040324","0.743989282039544","0.785185392146779","0.779862785010136","0.757239246695555","0.770502287398681","0.737767595792197","0.769012647388284","","","","",
"United Arab Emirates","ARE","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","0.546951419998301","0.599006754965592","0.482490379436121","0.566489566538679","0.382679564661245","0.311431078591057","0.297182533535935","0.318716363577545","0.320719354490891","0.404756013564351","0.451803774827122","0.502630712310387","0.490905998004273","0.511239901762543","0.512676324971993","0.413555986321434","0.44946252858706","0.443502945099196","0.49707074471645","0.51539838658179","0.466642105929968","0.256365756905309","0.240343976343722","0.468948960068001","0.438272394952285","0.567824497719972","0.5045307836176","0.41138613720403","0.476930776305111","0.461359255597401","0.451295564651673","0.438208429685112","0.464977126866294","0.522778260166476","0.588885888530892","0.554933210433885","0.53390184540584","0.54479428915195","0.50188809781286","0.595257645406862","","","","",
"Argentina","ARG","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","0.422371463637194","0.420037454089171","0.444469677050709","0.437811128866769","0.442334423902719","0.42258492205278","0.456262885009893","0.458995234836125","0.461519178353625","0.471022588333512","0.489051169385452","0.497573400473751","0.496302543346902","0.503659565125758","0.484877465638661","0.481777119003316","0.51684812777658","0.488199819782282","0.520611135889054","0.509434070805749","0.492903032831937","0.487870016814264","0.498144320699091","0.485642425825675","0.484081374652584","0.48217187496844","0.470547584120707","0.50532641167889","0.539923495405869","0.560565477646981","0.55048220230418","0.526679463772466","0.505674771419203","0.454132319452956","0.445394629962429","0.479244417705191","0.47911956314133","0.45303255069213","0.441962888297563","0.48090522208636","0.468742590147029","0.461328023695137","0.482862808180909","0.480469363526554","0.514176201615206","0.485916781197683","0.486695168590517","0.445815393609213","0.46250409816588","0.467825073420733","0.443595178687399","0.426742487649833","0.432793453191309","0.417125084796763","0.459818105204387","","","","",
"Armenia","ARM","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.78336539864746","0.857737451021811","0.861662781045008","1.01574857622087","0.721151321305815","0.880701786047013","0.853355330579219","0.74051194097783","0.80388902009793","0.750071569641902","0.569389960138719","0.562448920007719","0.541280013385348","0.567666626433729","0.504860951611071","0.512919483699429","0.526716609873431","0.481193010347242","0.455390954849264","0.507187633785868","0.54791923717721","0.51197222907955","0.497148756473147","","","","",
"American Samoa","ASM","CO2 emissions (kg per 2010 US$ of GDP)","EN.ATM.CO2E.KD.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
