"Data Source","World Development Indicators",

"Last Updated Date","2019-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.69295744237273","19.464258750392","0.524244982482386","5.24208341762507","9.34608164871649","5.22060913878848","12.1127894675922","2.06957284585559","7.83241075663432","-0.772006084145545","-0.378362742225278","5.7361069153484","2.70262575315978","3.01532032338126","-0.677736337383038","-6.04001160422025","-1.66622979885386","",
"Albania","ALB","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.4896942671714","10.1611064758236","13.5036015743472","8.18586222359232","9.53806771712668","4.36215294158797","6.32178653362053","5.71734145380827","5.74007323279572","7.51225827219675","6.72074429730434","6.09356807612296","1.92203898135716","4.82582550748651","3.8859638862246","0.810437162221817","3.64905027081466","1.19835657960962","2.7926650235824","3.92694458835695","2.57879098386964","",
"Andorra","AND","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.2827529075095","4.87347684757569","5.08986615183925","2.75075741855653","4.1844219138242","3.25843219964177","3.08102368157222","-2.27144721515721","1.82276676534316","3.94406606308677","2.16301708762181","0.411410229156999","2.09055158716629","2.36753995913475","1.01706736352915","-1.14187098389415","",
"United Arab Emirates","ARE","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-6.55188761186942","1.05937952696395","0.485605365976653","-5.89675382603238","-4.26316547092181","-10.2179187966302","-12.1379585476604","-15.465798697451","-6.96227029327363","2.25829292098744","2.31193756656106","4.79182082333199","3.93448297195825","4.80623456349933","1.99239120164047","-0.406332470662036","",
"Argentina","ARG","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","3.95088479714684","-2.58123858694957","-6.79443569683799","8.61390559558188","8.80492571666956","-0.78246315299063","-1.87689952263037","1.42013507654426","8.897065961772","-1.56114139783995","9.0296760161702","-2.45768499655975","3.035780386681","3.84424987040886","-0.622160181697836","-4.7264093290941","4.5114517716905","-5.77848226933683","8.29216683522766","-0.0340295943225186","-8.03350162817583","-5.70599914529669","3.02438970980508","0.430466313491635","-6.79325845420874","5.39153474529056","1.0060910249217","-2.32528692397619","-12.2178811112052","0.163789609658679","8.87147083409741","7.67848830181632","7.47743542402999","4.33184979382497","-4.38086181399333","4.04332719542751","6.75798746170764","2.33067744816621","-4.58791601956192","-1.91697721933063","-5.64980505557845","-14.1398244144878","9.02617609633225","0.00830038851233894","7.55061463457689","16.5614613204659","8.65110790138984","3.13390957537401","-7.42081166240455","8.86074697840702","5.31950619137156","-1.61558732534802","1.51928849710229","-3.46032014722823","1.82302544834106","-3.448212562808","1.16870267783939","-4.61001859130917",
"Armenia","ARM","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.00844296058018","10.8514710654471","7.99619993771807","5.02216314358674","3.7472220005647","6.33408077100543","10.5982157264048","14.7007563734351","14.2641683316719","10.666788396815","16.1321164323983","14.7442084143785","15.5420792803269","8.34437876351531","-15.3394028643611","3.6737266624898","2.94909675309125","7.21231963398058","4.82485792487888","1.61583518374562","2.181509902713","-2.0307636927115","9.06655378425876","2.35767907574575",
"American Samoa","ASM","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI per capita growth (annual %)","NY.GNP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
