"Data Source","World Development Indicators",

"Last Updated Date","2019-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","GNI growth (annual %)","NY.GNP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI growth (annual %)","NY.GNP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GNI growth (annual %)","NY.GNP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.2403220485289","23.5084782390028","3.97880217366308","8.93957721938183","13.2834953040751","9.09891317658366","16.316132806935","5.92803841770275","11.9012791551649","2.93881629998309","3.30863548386718","9.60951382124505","6.41613269594134","6.68202121046329","2.79721475522705","-2.81156099733887","1.65536525832808","",
"Albania","ALB","GNI growth (annual %)","NY.GNP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.047771647942","9.47000170658474","12.7869956481466","7.49852495963262","8.514893945609","4.04966393936365","5.92472771186507","5.27643749172557","5.2002884496887","6.83608660960103","5.91727542312516","5.2825820527998","1.23750154773595","4.30669486539419","3.60686821428347","0.644085080603986","3.45932726082819","0.9890451797651","2.49376225688964","3.76091851798603","2.48449028881012","",
"Andorra","AND","GNI growth (annual %)","NY.GNP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI growth (annual %)","NY.GNP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.171082195852662","7.16860314388992","7.44529044891155","5.12140236321498","6.66095975066906","5.76836786531875","5.61060417329257","0.10631309969709","4.24939355634484","6.3658816778435","4.49369139653484","2.64490263675523","4.2958111417213","4.51052030317354","3.05668971666886","0.784897391516083","",
"United Arab Emirates","ARE","GNI growth (annual %)","NY.GNP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.57045026560124","7.83259311139585","10.1401424982601","6.12251151548395","10.5921965930883","4.49677958618587","0.974737976556113","-5.59419624647521","0.47165556194075","7.00390961539985","4.53981352287246","5.43735871385407","4.11827411206929","5.36045496620565","3.07233525037864","0.936583708686229","",
"Argentina","ARG","GNI growth (annual %)","NY.GNP.MKTP.KD.ZG","","5.65357724822448","-1.00985758908737","-5.31455370028922","10.3097279484349","10.4761785090511","0.714711037873727","-0.416292289413235","2.92795357621279","10.5390764156117","-0.0419231520047703","10.7600477277112","-0.875050390032285","4.72134986555297","5.52614981099144","0.952574677029759","-3.25708895430319","6.09005345402235","-4.36612064675644","9.93284973964772","1.51431829761184","-6.57640285531538","-4.18858808505682","4.69706049334869","2.06087485259209","-5.29131723707762","7.07509455583278","2.603327592714","-0.807646800678128","-10.8896439587905","1.62977720930499","10.4079805054203","9.14438578732081","8.89036097384215","5.66036736265679","-3.19822832378451","5.29264163274755","8.00303481143141","3.49591358911958","-3.51970213536799","-0.831529258354507","-4.61377911785782","-13.204426698983","10.2012171383515","1.06936671598963","8.67093621470443","17.7511048160095","9.74181742268543","4.16270711641778","-6.49080106758684","9.68269926650424","6.54093087375036","-0.490666809970108","2.66178114074633","-2.39304755752543","2.92661670877278","-2.42207031682776","2.22341753482398","-3.63610100247776",
"Armenia","ARM","GNI growth (annual %)","NY.GNP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.80684001828953","9.15883470188557","6.79864380252046","4.20420016039994","3.09093556174305","5.66520320281028","9.91709935940605","14.0725257689045","13.6598518715492","10.0356287941845","15.3793351676596","13.8604382770273","14.5387484986898","7.4207639357103","-15.9079379400383","3.28700869874936","2.92115294687297","7.49897322600854","5.31023407829343","2.13552505695998","2.64287697836174","-1.67603140100353","9.38835098216137","2.59984281204264",
"American Samoa","ASM","GNI growth (annual %)","NY.GNP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI growth (annual %)","NY.GNP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
